OrderID,CustomerID,Gender,Age,State,CustomerType,OrderDate,PickupDate,DeliveryDate,ServiceName,QuantityOfClothes,WeightKg,LoadType,DeliveryType,Revenue,PaymentDate,PaymentAmount,PaymentMethod,LabourCost,ElectricityCost,WaterCost,DetergentCost,ChemicalCost,PackagingCost,FuelCost,MaintenanceCost,DiscountGiven,Tax,OtherCost,TotalExpense,NetProfit,PaymentStatus
11,42,Female,52,Nevada,Student,3/22/2022,3/23/2022,3/27/2022,Laundry,13,8.2,Mixed,Customer Pickup,3686.15,3/22/2022,3686.15,Online Payment,810.95,184.31,147.45,184.31,0,35,0,110.58,0,276.46,73.72,1822.78,1863.37,Paid
12,99,Female,51,Indiana,Student,12/9/2023,12/10/2023,12/14/2023,Ironing,28,7.11,Light,Home Delivery,2678.66,12/14/2023,2678.66,Cash,482.16,133.93,0,0,0,50,107.15,80.36,0,200.9,53.57,1108.07,1570.59,Paid
13,68,Male,19,Oklahoma,Walk-in,4/27/2023,4/28/2023,5/2/2023,Dry Cleaning,4,2.35,Mixed,Customer Pickup,14595.71,5/2/2023,14595.71,Credit Card,3211.06,583.83,0,0,875.74,20,0,437.87,729.79,1094.68,291.91,5785.3,8810.41,Paid
14,41,Female,54,California,Corporate,9/18/2025,9/19/2025,9/23/2025,Ironing,15,9.3,Mixed,Home Delivery,4876.39,9/19/2025,4876.39,Cash,1072.81,243.82,0,0,0,35,195.06,146.29,0,365.73,97.53,2156.24,2720.15,Paid
15,1,Female,59,North Carolina,Regular,6/25/2021,6/26/2021,6/30/2021,Laundry,22,6.04,Light,Customer Pickup,12300.01,6/25/2021,12300.01,Credit Card,2214,615,492,615,0,50,0,369,0,922.5,246,5523.5,6776.51,Paid
16,81,Male,35,Florida,Regular,4/13/2023,4/14/2023,4/18/2023,Dry Cleaning,6,3.74,Mixed,Home Delivery,8109.01,4/14/2023,8109.01,Cash,1783.98,324.36,0,0,486.54,20,324.36,243.27,0,608.18,162.18,3952.87,4156.14,Paid
17,4,Male,26,Washington,Regular,6/4/2024,6/5/2024,6/9/2024,Laundry,18,10.09,Mixed,Customer Pickup,5687.69,6/9/2024,5687.69,Cash,1251.29,341.26,227.51,284.38,0,35,0,170.63,0,426.58,113.75,2850.4,2837.29,Paid
18,75,Male,40,Texas,Student,7/20/2022,7/21/2022,7/25/2022,Ironing,9,5.22,Mixed,Home Delivery,1740.74,7/25/2022,1740.74,Cash,382.96,87.04,0,0,0,20,69.63,52.22,0,130.56,34.81,777.22,963.52,Paid
19,61,Female,44,Florida,Corporate,8/6/2024,8/7/2024,8/11/2024,Laundry,9,5.1,Mixed,Express,2242.43,8/11/2024,2242.43,Online Payment,493.33,112.12,89.7,112.12,0,20,134.55,67.27,0,168.18,44.85,1242.12,1000.31,Paid
20,81,Male,35,Florida,Regular,11/8/2024,11/9/2024,11/13/2024,Ironing,14,8.35,Mixed,Express,4456.6,11/13/2024,4456.6,Credit Card,980.45,222.83,0,0,0,35,267.4,133.7,0,334.25,89.13,2062.76,2393.84,Paid
21,21,Male,29,New York,Regular,9/27/2025,9/28/2025,10/2/2025,Stain Removal,15,9.49,Mixed,Home Delivery,10693.07,9/28/2025,10693.07,Cash,2352.48,534.65,320.79,213.86,427.72,35,427.72,320.79,0,801.98,213.86,5648.85,5044.22,Paid
22,60,Male,19,Georgia,Corporate,5/14/2023,5/15/2023,5/19/2023,Dry Cleaning,22,12.57,Mixed,Customer Pickup,1006.28,5/19/2023,1006.28,Cash,221.38,60.38,0,0,60.38,50,0,30.19,0,75.47,20.13,517.93,488.35,Paid
23,39,Female,64,Kentucky,Regular,12/18/2024,12/19/2024,12/23/2024,Dry Cleaning,9,5.49,Mixed,Home Delivery,5046.44,12/23/2024,5046.44,Credit Card,1110.22,252.32,0,0,302.79,20,201.86,151.39,0,378.48,100.93,2517.99,2528.45,Paid
24,14,Male,31,Tennessee,Regular,5/1/2025,5/2/2025,5/6/2025,Laundry,10,5.38,Mixed,Home Delivery,13211.19,5/6/2025,13211.19,Cash,2906.46,660.56,528.45,660.56,0,20,528.45,396.34,0,990.84,264.22,6955.88,6255.31,Paid
25,52,Female,47,Indiana,Regular,2/28/2024,2/29/2024,3/4/2024,Laundry,14,3.58,Light,Customer Pickup,4042.28,3/4/2024,4042.28,Cash,727.61,161.69,161.69,202.11,0,35,0,121.27,0,303.17,80.85,1793.39,2248.89,Paid
26,19,Male,20,Georgia,Student,12/31/2023,1/1/2024,1/5/2024,Ironing,22,12.72,Mixed,Customer Pickup,11850.92,1/5/2024,11850.92,Online Payment,2607.2,711.06,0,0,0,50,0,355.53,0,888.82,237.02,4849.63,7001.29,Paid
27,39,Female,64,Kentucky,Regular,12/21/2021,12/22/2021,12/26/2021,Laundry,3,0.88,Light,Home Delivery,13700.52,12/26/2021,13700.52,Online Payment,2466.09,548.02,548.02,685.03,0,20,548.02,411.02,0,1027.54,274.01,6527.75,7172.77,Paid
28,35,Female,64,Utah,Student,11/11/2025,11/12/2025,11/16/2025,Laundry,30,17.81,Mixed,Customer Pickup,9489.49,11/11/2025,9489.49,Online Payment,2087.69,569.37,379.58,474.47,0,50,0,284.68,0,711.71,189.79,4747.29,4742.2,Paid
29,57,Female,45,California,Regular,8/30/2023,8/31/2023,9/4/2023,Ironing,17,10.57,Mixed,Home Delivery,6729.55,9/4/2023,6729.55,Credit Card,1480.5,403.77,0,0,0,35,269.18,201.89,0,504.72,134.59,3029.65,3699.9,Paid
30,83,Female,50,Alabama,Regular,12/12/2025,12/13/2025,12/17/2025,Dry Cleaning,3,0.81,Light,Customer Pickup,11409.38,12/13/2025,11409.38,Online Payment,2053.69,456.38,0,0,684.56,20,0,342.28,0,855.7,228.19,4640.8,6768.58,Paid
31,41,Female,54,California,Corporate,6/24/2023,6/25/2023,6/29/2023,Mending,17,9.8,Mixed,Home Delivery,14077.22,6/24/2023,14077.22,Online Payment,3096.99,703.86,0,0,0,35,563.09,422.32,0,1055.79,281.54,6158.59,7918.63,Paid
32,54,Male,32,Pennsylvania,Regular,6/24/2025,6/25/2025,6/29/2025,Laundry,23,25.19,Heavy,Customer Pickup,10776.04,6/24/2025,10776.04,Online Payment,2801.77,646.56,431.04,538.8,0,50,0,323.28,0,808.2,215.52,5815.17,4960.87,Paid
33,49,Male,29,Alabama,Regular,10/6/2021,10/7/2021,10/11/2021,Laundry,9,5.03,Mixed,Home Delivery,12205.47,10/7/2021,12205.47,Cash,2685.2,610.27,488.22,610.27,0,20,488.22,366.16,0,915.41,244.11,6427.86,5777.61,Paid
34,82,Male,32,Florida,Regular,9/19/2024,9/20/2024,9/24/2024,Laundry,3,1.05,Light,Customer Pickup,2058.29,9/24/2024,2058.29,Credit Card,370.49,82.33,82.33,102.91,0,20,0,61.75,0,154.37,41.17,915.35,1142.94,Paid
35,60,Male,19,Georgia,Corporate,12/10/2024,12/11/2024,12/15/2024,Dry Cleaning,22,13.64,Mixed,Customer Pickup,6106.72,12/15/2024,6106.72,Online Payment,1343.48,366.4,0,0,366.4,50,0,183.2,0,458,122.13,2889.61,3217.11,Paid
36,57,Female,45,California,Regular,12/13/2022,12/14/2022,12/18/2022,Ironing,20,5.03,Light,Customer Pickup,1816.44,12/18/2022,1816.44,Cash,326.96,90.82,0,0,0,35,0,54.49,90.82,136.23,36.33,589.01,1227.43,Paid
37,1,Female,59,North Carolina,Regular,11/14/2023,11/15/2023,11/19/2023,Dry Cleaning,28,8.91,Light,Home Delivery,4522.63,11/19/2023,4522.63,Credit Card,814.07,226.13,0,0,271.36,50,180.91,135.68,0,339.2,90.45,2107.8,2414.83,Paid
38,37,Male,29,Georgia,Student,10/3/2022,10/4/2022,10/8/2022,Stain Removal,16,4.58,Light,Customer Pickup,7693.38,10/3/2022,7693.38,Online Payment,1384.81,307.74,230.8,153.87,307.74,35,0,230.8,0,577,153.87,3381.63,4311.75,Paid
39,80,Male,27,Connecticut,Regular,11/26/2025,11/27/2025,12/1/2025,Laundry,19,11.71,Mixed,Customer Pickup,2618.53,12/1/2025,2618.53,Credit Card,576.08,157.11,104.74,130.93,0,35,0,78.56,0,196.39,52.37,1331.18,1287.35,Paid
40,89,Female,35,Texas,Student,11/4/2023,11/5/2023,11/9/2023,Laundry,15,15.51,Heavy,Customer Pickup,849.71,11/9/2023,849.71,Cash,220.92,50.98,33.99,42.49,0,35,0,25.49,0,63.73,16.99,489.59,360.12,Paid
41,3,Male,39,Arizona,Student,11/9/2021,11/10/2021,11/14/2021,Ironing,12,3.69,Light,Customer Pickup,12683.27,11/10/2021,12683.27,Cash,2282.99,507.33,0,0,0,35,0,380.5,0,951.25,253.67,4410.74,8272.53,Paid
42,49,Male,29,Alabama,Regular,2/27/2023,2/28/2023,3/4/2023,Laundry,24,13.92,Mixed,Customer Pickup,13208.01,3/4/2023,13208.01,Credit Card,2905.76,792.48,528.32,660.4,0,50,0,396.24,0,990.6,264.16,6587.96,6620.05,Paid
43,37,Male,29,Georgia,Student,6/22/2022,6/23/2022,6/27/2022,Ironing,11,11.92,Heavy,Customer Pickup,6585.77,6/27/2022,6585.77,Cash,1712.3,395.15,0,0,0,35,0,197.57,329.29,493.93,131.72,2636.38,3949.39,Paid
44,35,Female,64,Utah,Student,10/30/2021,10/31/2021,11/4/2021,Stain Removal,23,11.93,Mixed,Customer Pickup,11216.09,11/4/2021,11216.09,Credit Card,2467.54,672.97,336.48,224.32,448.64,50,0,336.48,0,841.21,224.32,5601.96,5614.13,Paid
45,65,Male,44,Michigan,Regular,6/23/2021,6/24/2021,6/28/2021,Dry Cleaning,20,12.35,Mixed,Customer Pickup,13052.23,6/28/2021,13052.23,Credit Card,2871.49,783.13,0,0,783.13,35,0,391.57,0,978.92,261.04,6104.28,6947.95,Paid
46,18,Female,61,Massachusetts,Regular,10/5/2021,10/6/2021,10/10/2021,Laundry,2,0.61,Light,Home Delivery,12784.33,10/10/2021,12784.33,Cash,2301.18,511.37,511.37,639.22,0,20,511.37,383.53,0,958.82,255.69,6092.55,6691.78,Paid
47,96,Male,27,Florida,Corporate,3/4/2023,3/5/2023,3/9/2023,Laundry,21,11.74,Mixed,Customer Pickup,2552.73,3/9/2023,2552.73,Cash,561.6,153.16,102.11,127.64,0,50,0,76.58,0,191.45,51.05,1313.59,1239.14,Paid
48,24,Female,47,District of Columbia,Regular,1/18/2023,1/19/2023,1/23/2023,Laundry,15,8.21,Mixed,Customer Pickup,14326.08,1/23/2023,14326.08,Credit Card,3151.74,716.3,573.04,716.3,0,35,0,429.78,0,1074.46,286.52,6983.14,7342.94,Paid
49,33,Female,44,Virginia,Regular,7/5/2025,7/6/2025,7/10/2025,Laundry,8,2.32,Light,Customer Pickup,13302.22,7/10/2025,13302.22,Cash,2394.4,532.09,532.09,665.11,0,20,0,399.07,0,997.67,266.04,5806.47,7495.75,Paid
50,92,Female,37,New York,Regular,4/28/2022,4/29/2022,5/3/2022,Dry Cleaning,12,3.08,Light,Customer Pickup,2733.6,5/3/2022,2733.6,Credit Card,492.05,109.34,0,0,164.02,35,0,82.01,0,205.02,54.67,1142.11,1591.49,Paid
51,60,Male,19,Georgia,Corporate,11/4/2025,11/5/2025,11/9/2025,Laundry,15,7.76,Mixed,Customer Pickup,5207.51,11/9/2025,5207.51,Credit Card,1145.65,260.38,208.3,260.38,0,35,0,156.23,0,390.56,104.15,2560.65,2646.86,Paid
52,23,Male,34,California,Student,12/9/2024,12/10/2024,12/14/2024,Laundry,16,8.91,Mixed,Customer Pickup,9673.75,12/14/2024,9673.75,Credit Card,2128.23,483.69,386.95,483.69,0,35,0,290.21,0,725.53,193.48,4726.78,4946.97,Paid
53,36,Female,37,Texas,Corporate,10/12/2022,10/13/2022,10/17/2022,Laundry,29,16.87,Mixed,Customer Pickup,12635.1,10/17/2022,12635.1,Online Payment,2779.72,758.11,505.4,631.76,0,50,0,379.05,0,947.63,252.7,6304.37,6330.73,Paid
54,10,Male,22,New Jersey,Regular,6/26/2024,6/27/2024,7/1/2024,Stain Removal,11,3.41,Light,Home Delivery,12795.59,6/27/2024,12795.59,Online Payment,2303.21,511.82,383.87,255.91,511.82,35,511.82,383.87,0,959.67,255.91,6112.9,6682.69,Paid
55,41,Female,54,California,Corporate,12/19/2023,12/20/2023,12/24/2023,Laundry,9,8.13,Heavy,Customer Pickup,4569.89,12/24/2023,4569.89,Credit Card,1188.17,228.49,182.8,228.49,0,20,0,137.1,0,342.74,91.4,2419.19,2150.7,Paid
56,76,Male,37,Iowa,Student,8/27/2021,8/28/2021,9/1/2021,Ironing,2,1.28,Mixed,Home Delivery,8136.59,8/27/2021,8136.59,Credit Card,1790.05,325.46,0,0,0,20,325.46,244.1,0,610.24,162.73,3478.04,4658.55,Paid
57,56,Female,57,Georgia,Regular,1/8/2023,1/9/2023,1/13/2023,Laundry,28,16.6,Mixed,Customer Pickup,7628.81,1/13/2023,7628.81,Cash,1678.34,457.73,305.15,381.44,0,50,0,228.86,0,572.16,152.58,3826.26,3802.55,Paid
58,52,Female,47,Indiana,Regular,10/31/2022,11/1/2022,11/5/2022,Ironing,2,1.09,Mixed,Customer Pickup,1387.61,11/5/2022,1387.61,Online Payment,305.27,55.5,0,0,0,20,0,41.63,0,104.07,27.75,554.22,833.39,Paid
59,91,Female,50,Indiana,Walk-in,8/25/2025,8/26/2025,8/30/2025,Dry Cleaning,6,1.91,Light,Customer Pickup,6589.23,8/30/2025,6589.23,Credit Card,1186.06,263.57,0,0,395.35,20,0,197.68,0,494.19,131.78,2688.63,3900.6,Paid
60,97,Male,29,Alabama,Corporate,2/23/2023,2/24/2023,2/28/2023,Laundry,21,6.21,Light,Customer Pickup,5356.04,2/23/2023,5356.04,Online Payment,964.09,267.8,214.24,267.8,0,50,0,160.68,0,401.7,107.12,2433.43,2922.61,Paid
61,11,Female,49,Kentucky,Regular,12/17/2025,12/18/2025,12/22/2025,Ironing,22,11.87,Mixed,Customer Pickup,12762.65,12/17/2025,12762.65,Credit Card,2807.78,765.76,0,0,0,50,0,382.88,0,957.2,255.25,5218.87,7543.78,Paid
62,65,Male,44,Michigan,Regular,8/13/2023,8/14/2023,8/18/2023,Laundry,5,1.72,Light,Customer Pickup,9991.64,8/18/2023,9991.64,Cash,1798.5,399.67,399.67,499.58,0,20,0,299.75,499.58,749.37,199.83,3866.79,6124.85,Paid
63,92,Female,37,New York,Regular,11/21/2022,11/22/2022,11/26/2022,Stain Removal,29,9.91,Light,Home Delivery,1976.79,11/26/2022,1976.79,Online Payment,355.82,98.84,59.3,39.54,79.07,50,79.07,59.3,0,148.26,39.54,1008.74,968.05,Paid
64,66,Male,42,New York,Student,11/13/2024,11/14/2024,11/18/2024,Laundry,22,13.52,Mixed,Customer Pickup,14108.42,11/18/2024,14108.42,Online Payment,3103.85,846.51,564.34,705.42,0,50,0,423.25,0,1058.13,282.17,7033.67,7074.75,Paid
65,52,Female,47,Indiana,Regular,2/15/2021,2/16/2021,2/20/2021,Laundry,22,5.65,Light,Customer Pickup,4420.38,2/20/2021,4420.38,Credit Card,795.67,221.02,176.82,221.02,0,50,0,132.61,0,331.53,88.41,2017.08,2403.3,Paid
66,61,Female,44,Florida,Corporate,6/1/2023,6/2/2023,6/6/2023,Dry Cleaning,17,8.62,Mixed,Customer Pickup,11607.1,6/6/2023,11607.1,Cash,2553.56,580.36,0,0,696.43,35,0,348.21,0,870.53,232.14,5316.23,6290.87,Paid
67,51,Female,39,California,Corporate,11/21/2022,11/22/2022,11/26/2022,Laundry,21,5.32,Light,Home Delivery,8049.7,11/26/2022,8049.7,Cash,1448.95,402.49,321.99,402.49,0,50,321.99,241.49,0,603.73,160.99,3954.12,4095.58,Paid
68,70,Female,42,Georgia,Corporate,7/16/2023,7/17/2023,7/21/2023,Dry Cleaning,18,4.56,Light,Customer Pickup,10921.23,7/21/2023,10921.23,Credit Card,1965.82,436.85,0,0,655.27,35,0,327.64,0,819.09,218.42,4458.09,6463.14,Paid
69,95,Male,34,Nevada,Regular,12/21/2022,12/22/2022,12/26/2022,Laundry,21,5.38,Light,Express,9086.59,12/26/2022,9086.59,Cash,1635.59,454.33,363.46,454.33,0,50,545.2,272.6,0,681.49,181.73,4638.73,4447.86,Paid
70,66,Male,42,New York,Student,2/18/2025,2/19/2025,2/23/2025,Dry Cleaning,12,3.25,Light,Customer Pickup,7514.72,2/18/2025,7514.72,Online Payment,1352.65,300.59,0,0,450.88,35,0,225.44,0,563.6,150.29,3078.45,4436.27,Paid
71,43,Male,34,California,Regular,8/10/2022,8/11/2022,8/15/2022,Ironing,8,2.7,Light,Customer Pickup,7963.67,8/15/2022,7963.67,Cash,1433.46,318.55,0,0,0,20,0,238.91,0,597.28,159.27,2767.47,5196.2,Paid
72,15,Male,20,Colorado,Student,3/12/2025,3/13/2025,3/17/2025,Laundry,3,1.82,Mixed,Home Delivery,1951.47,3/12/2025,1951.47,Online Payment,429.32,78.06,78.06,97.57,0,20,78.06,58.54,0,146.36,39.03,1025,926.47,Paid
73,49,Male,29,Alabama,Regular,10/31/2022,11/1/2022,11/5/2022,Dry Cleaning,30,10.45,Light,Customer Pickup,5140.96,10/31/2022,5140.96,Credit Card,925.37,308.46,0,0,308.46,50,0,154.23,0,385.57,102.82,2234.91,2906.05,Paid
74,96,Male,27,Florida,Corporate,9/28/2024,9/29/2024,10/3/2024,Stain Removal,19,19.56,Heavy,Home Delivery,8952.84,9/28/2024,8952.84,Online Payment,2327.74,537.17,268.59,179.06,358.11,35,358.11,268.59,0,671.46,179.06,5182.89,3769.95,Paid
75,35,Female,64,Utah,Student,1/1/2025,1/2/2025,1/6/2025,Mending,30,31.82,Heavy,Customer Pickup,1488.86,1/6/2025,1488.86,Cash,387.1,89.33,0,0,0,50,0,44.67,0,111.66,29.78,712.54,776.32,Paid
76,85,Male,24,Massachusetts,Student,5/10/2021,5/11/2021,5/15/2021,Laundry,9,4.57,Mixed,Customer Pickup,5217.02,5/11/2021,5217.02,Cash,1147.74,208.68,208.68,260.85,0,20,0,156.51,0,391.28,104.34,2498.08,2718.94,Paid
77,21,Male,29,New York,Regular,1/15/2025,1/16/2025,1/20/2025,Ironing,18,5.65,Light,Customer Pickup,8404.22,1/20/2025,8404.22,Cash,1512.76,420.21,0,0,0,35,0,252.13,0,630.32,168.08,3018.5,5385.72,Paid
78,51,Female,39,California,Corporate,10/1/2022,10/2/2022,10/6/2022,Laundry,25,6.38,Light,Home Delivery,4567.03,10/6/2022,4567.03,Cash,822.07,228.35,182.68,228.35,0,50,182.68,137.01,0,342.53,91.34,2265.01,2302.02,Paid
79,88,Female,48,District of Columbia,Student,11/14/2022,11/15/2022,11/19/2022,Laundry,21,5.96,Light,Home Delivery,4179.84,11/15/2022,4179.84,Cash,752.37,208.99,167.19,208.99,0,50,167.19,125.4,208.99,313.49,83.6,1868.23,2311.61,Paid
80,90,Male,42,North Carolina,Corporate,7/17/2023,7/18/2023,7/22/2023,Dry Cleaning,17,9.85,Mixed,Customer Pickup,2407.09,7/22/2023,2407.09,Online Payment,529.56,120.35,0,0,144.43,35,0,72.21,0,180.53,48.14,1130.22,1276.87,Paid
81,84,Female,58,Colorado,Walk-in,3/25/2023,3/26/2023,3/30/2023,Laundry,16,5.01,Light,Home Delivery,14670.66,3/26/2023,14670.66,Cash,2640.72,733.53,586.83,733.53,0,35,586.83,440.12,0,1100.3,293.41,7150.27,7520.39,Paid
82,50,Male,42,Maryland,Regular,1/15/2025,1/16/2025,1/20/2025,Laundry,23,7.05,Light,Customer Pickup,11332.64,1/15/2025,11332.64,Credit Card,2039.88,566.63,453.31,566.63,0,50,0,339.98,0,849.95,226.65,5093.03,6239.61,Paid
83,99,Female,51,Indiana,Student,5/10/2025,5/11/2025,5/15/2025,Laundry,20,12.82,Mixed,Customer Pickup,14342.74,5/15/2025,14342.74,Cash,3155.4,860.56,573.71,717.14,0,35,0,430.28,717.14,1075.71,286.85,6417.51,7925.23,Paid
84,44,Male,37,New York,Student,4/29/2025,4/30/2025,5/4/2025,Dry Cleaning,15,7.52,Mixed,Home Delivery,9314.66,4/30/2025,9314.66,Online Payment,2049.23,465.73,0,0,558.88,35,372.59,279.44,465.73,698.6,186.29,4180.03,5134.63,Paid
85,22,Female,51,Pennsylvania,Regular,5/12/2023,5/13/2023,5/17/2023,Laundry,11,5.86,Mixed,Home Delivery,4729.6,5/17/2023,4729.6,Cash,1040.51,236.48,189.18,236.48,0,35,189.18,141.89,0,354.72,94.59,2518.03,2211.57,Paid
86,78,Male,22,Florida,Regular,11/1/2023,11/2/2023,11/6/2023,Dry Cleaning,20,5.15,Light,Express,12486.16,11/6/2023,12486.16,Cash,2247.51,624.31,0,0,749.17,35,749.17,374.58,0,936.46,249.72,5965.92,6520.24,Paid
87,21,Male,29,New York,Regular,2/11/2021,2/12/2021,2/16/2021,Stain Removal,5,5.07,Heavy,Customer Pickup,11574.62,2/16/2021,11574.62,Credit Card,3009.4,578.73,347.24,231.49,462.98,20,0,347.24,0,868.1,231.49,6096.67,5477.95,Paid
88,73,Female,60,Ohio,Regular,12/18/2025,12/19/2025,12/23/2025,Ironing,7,3.85,Mixed,Home Delivery,10853.85,12/18/2025,10853.85,Credit Card,2387.85,434.15,0,0,0,20,434.15,325.62,0,814.04,217.08,4632.89,6220.96,Paid
89,100,Male,27,Colorado,Walk-in,9/19/2024,9/20/2024,9/24/2024,Laundry,14,8.11,Mixed,Customer Pickup,13520.46,9/24/2024,13520.46,Credit Card,2974.5,676.02,540.82,676.02,0,35,0,405.61,0,1014.03,270.41,6592.41,6928.05,Paid
90,79,Female,50,Vermont,Regular,10/2/2023,10/3/2023,10/7/2023,Ironing,25,14.89,Mixed,Customer Pickup,1960.55,10/7/2023,1960.55,Credit Card,431.32,117.63,0,0,0,50,0,58.82,0,147.04,39.21,844.02,1116.53,Paid
91,97,Male,29,Alabama,Corporate,12/31/2021,1/1/2022,1/5/2022,Laundry,6,5.9,Heavy,Home Delivery,10680.81,1/5/2022,10680.81,Credit Card,2777.01,534.04,427.23,534.04,0,20,427.23,320.42,0,801.06,213.62,6054.65,4626.16,Paid
92,46,Male,31,Texas,Regular,7/24/2022,7/25/2022,7/29/2022,Dry Cleaning,12,6.25,Mixed,Customer Pickup,12887.32,7/29/2022,12887.32,Cash,2835.21,644.37,0,0,773.24,35,0,386.62,0,966.55,257.75,5898.74,6988.58,Paid
93,40,Male,37,Minnesota,Regular,12/1/2025,12/2/2025,12/6/2025,Laundry,10,6.3,Mixed,Home Delivery,14926.37,12/6/2025,14926.37,Cash,3283.8,746.32,597.05,746.32,0,20,597.05,447.79,0,1119.48,298.53,7856.34,7070.03,Paid
94,59,Male,34,New York,Student,1/31/2023,2/1/2023,2/5/2023,Laundry,19,12.11,Mixed,Customer Pickup,2977.39,2/5/2023,2977.39,Online Payment,655.03,178.64,119.1,148.87,0,35,0,89.32,0,223.3,59.55,1508.81,1468.58,Paid
95,77,Male,29,District of Columbia,Corporate,6/17/2025,6/18/2025,6/22/2025,Ironing,10,6.46,Mixed,Customer Pickup,13082.68,6/22/2025,13082.68,Cash,2878.19,654.13,0,0,0,20,0,392.48,0,981.2,261.65,5187.65,7895.03,Paid
96,7,Female,64,New Mexico,Regular,2/10/2025,2/11/2025,2/15/2025,Laundry,22,5.74,Light,Home Delivery,12812.75,2/15/2025,12812.75,Credit Card,2306.3,640.64,512.51,640.64,0,50,512.51,384.38,0,960.96,256.26,6264.2,6548.55,Paid
97,2,Male,41,Utah,Regular,3/23/2025,3/24/2025,3/28/2025,Dry Cleaning,5,2.98,Mixed,Customer Pickup,14622.72,3/28/2025,14622.72,Cash,3217,584.91,0,0,877.36,20,0,438.68,0,1096.7,292.45,6527.1,8095.62,Paid
98,89,Female,35,Texas,Student,2/11/2025,2/12/2025,2/16/2025,Stain Removal,28,17.71,Mixed,Express,11864.82,2/16/2025,11864.82,Cash,2610.26,711.89,355.94,237.3,474.59,50,711.89,355.94,0,889.86,237.3,6634.97,5229.85,Paid
99,39,Female,64,Kentucky,Regular,3/11/2022,3/12/2022,3/16/2022,Laundry,21,19.85,Heavy,Customer Pickup,12021.44,3/16/2022,12021.44,Cash,3125.57,721.29,480.86,601.07,0,50,0,360.64,0,901.61,240.43,6481.47,5539.97,Paid
100,28,Male,36,Oregon,Regular,3/19/2022,3/20/2022,3/24/2022,Mending,11,3.6,Light,Customer Pickup,10825,3/19/2022,10825,Online Payment,1948.5,433,0,0,0,35,0,324.75,541.25,811.88,216.5,3228.38,7596.62,Paid
101,23,Male,34,California,Student,12/14/2025,12/15/2025,12/19/2025,Laundry,16,4.66,Light,Home Delivery,7326.18,12/15/2025,7326.18,Cash,1318.71,293.05,293.05,366.31,0,35,293.05,219.79,0,549.46,146.52,3514.94,3811.24,Paid
